"id","name","screen_name","statuses_count","followers_count","friends_count","favourites_count","listed_count","url","lang","time_zone","location","default_profile","default_profile_image","geo_enabled","profile_image_url","profile_banner_url","profile_use_background_image","profile_background_image_url_https","profile_text_color","profile_image_url_https","profile_sidebar_border_color","profile_background_tile","profile_sidebar_fill_color","profile_background_image_url","profile_background_color","profile_link_color","utc_offset","is_translator","follow_request_sent","protected","verified","notifications","description","contributors_enabled","following","created_at","timestamp","crawled_at","updated","test_set_1","test_set_2"
"488351800","MASC","angeli_masc","60463","568","387","15599","1","http://t.co/lzG1h0bGlm","en","Singapore","SG|PH",,,"1","http://pbs.twimg.com/profile_images/593394812159537152/uxFYhpph_normal.jpg","https://pbs.twimg.com/profile_banners/488351800/1430310739","1","https://pbs.twimg.com/profile_background_images/563979877167022080/mnhknujj.jpeg","CEC9A7","https://pbs.twimg.com/profile_images/593394812159537152/uxFYhpph_normal.jpg","000000","1","84578D","http://pbs.twimg.com/profile_background_images/563979877167022080/mnhknujj.jpeg","0A090A","ABB8C2","28800",,,,,,,,,"Fri Feb 10 10:59:44 +0000 2012","2012-02-10 11:59:44","2015-05-01 13:11:15","2016-03-15 16:02:35","1","0"
"75506408","Karan Baweja","krnbwj","135","208","263","43","2",,"en","New Delhi","New Delhi",,,"1","http://pbs.twimg.com/profile_images/3735734775/3c94fb95dbcb47127396d7f3c976c355_normal.jpeg","https://pbs.twimg.com/profile_banners/75506408/1369998782",,"https://abs.twimg.com/images/themes/theme1/bg.png","000000","https://pbs.twimg.com/profile_images/3735734775/3c94fb95dbcb47127396d7f3c976c355_normal.jpeg","000000",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","000000","ABB8C2","19800",,,,,,"Startup-bug-bitten-experimentalist, a wannabee workaholic, wanderer in gaga land , building a great #product for #revolutionizing #commerce Brand: @iitroorkee",,,"Sat Sep 19 08:28:16 +0000 2009","2009-09-19 10:28:16","2015-05-02 01:30:57","2016-03-15 16:06:58","1","1"
"37407255"," অগ্নিভ নিয়োগী","Aagan86","283536","7785","424","1157","217","https://t.co/8FehkHOTmi","en","Kolkata","Kolkata-Jalpaiguri",,,"1","http://pbs.twimg.com/profile_images/591915550386696192/hTm1b9Oy_normal.jpg","https://pbs.twimg.com/profile_banners/37407255/1426482022","1","https://pbs.twimg.com/profile_background_images/75609499/DSC00839.JPG","000000","https://pbs.twimg.com/profile_images/591915550386696192/hTm1b9Oy_normal.jpg","000000","1","78806B","http://pbs.twimg.com/profile_background_images/75609499/DSC00839.JPG","000000","ADAC1F","19800",,,,,,"Typical Aantel,reader, blogger, social media & news addict, opinionated. Joy Bangla!",,,"Sun May 03 12:17:01 +0000 2009","2009-05-03 14:17:01","2015-05-01 17:25:52","2016-03-15 15:53:59","0","0"
"1664307984","laurel daniel","_laureldaniel","1770","179","132","1224","0",,"en",,"edmond","1",,,"http://pbs.twimg.com/profile_images/562415057200377857/7n_ZDqOc_normal.jpeg","https://pbs.twimg.com/profile_banners/1664307984/1425679033","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/562415057200377857/7n_ZDqOc_normal.jpeg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,,,,"Mon Aug 12 06:35:01 +0000 2013","2013-08-12 08:35:01","2015-05-01 13:04:00","2016-03-15 16:02:01","0","0"
"308236961","King Devin","_KingDevin25","4790","3325","1327","235","5","http://t.co/bhVTgRUb5r","en",,"Memphis Tn.",,,"1","http://pbs.twimg.com/profile_images/578271190642360321/u15oWIJT_normal.jpeg","https://pbs.twimg.com/profile_banners/308236961/1426704145",,"https://pbs.twimg.com/profile_background_images/387211165/MS-Football-City-0491.jpg","333333","https://pbs.twimg.com/profile_images/578271190642360321/u15oWIJT_normal.jpeg","FFFFFF",,"DDEEF6","http://pbs.twimg.com/profile_background_images/387211165/MS-Football-City-0491.jpg","C0DEED","0084B4",,,,,,,"Official twitter of an Student Athlete on a path to Success. I'm a Leader & DreamChaser #BlackMafia / @Beyonce ♥♥ #LAKERSNATION #GREENBAYNATION #DivineRoyalty",,,"Tue May 31 02:07:05 +0000 2011","2011-05-31 04:07:05","2015-05-01 20:08:34","2016-03-15 16:01:50","0","0"
"1446131569","Lily Phan","lilyfan_","3912","482","439","9909","0",,"en","Eastern Time (US & Canada)",,,,"1","http://pbs.twimg.com/profile_images/593226950522609664/22hFhJnX_normal.jpg","https://pbs.twimg.com/profile_banners/1446131569/1428779304",,"https://pbs.twimg.com/profile_background_images/344918034408049430/70bfce8092f354c0256c770d0f3f2b4e.jpeg","333333","https://pbs.twimg.com/profile_images/593226950522609664/22hFhJnX_normal.jpg","000000",,"DDEEF6","http://pbs.twimg.com/profile_background_images/344918034408049430/70bfce8092f354c0256c770d0f3f2b4e.jpeg","020303","A3A3A3","-14400",,,,,,"look good, feel good, do good. #MTXE",,,"Tue May 21 11:29:06 +0000 2013","2013-05-21 13:29:06","2015-05-02 05:35:33","2016-03-15 16:07:14","1","0"
"887281","Paul Youlten","Payo","626","236","300","16","4","http://t.co/GipGLa4McM","en","Madrid","Europe",,,,"http://pbs.twimg.com/profile_images/101616578/yellowikislogosm_normal.jpg","https://pbs.twimg.com/profile_banners/887281/1400747700","1","https://abs.twimg.com/images/themes/theme1/bg.png","000000","https://pbs.twimg.com/profile_images/101616578/yellowikislogosm_normal.jpg","87BC44",,"E0FF92","http://abs.twimg.com/images/themes/theme1/bg.png","9AE4E8","0000FF","7200",,,,,,"Along the wiki way",,,"Sat Mar 10 22:25:08 +0000 2007","2007-03-10 23:25:08","2015-05-01 12:59:54","2016-03-15 15:59:27","0","0"
"3013763124","Gabrielle K ♡","gabriellanaxo","227","131","322","51","0",,"en",,"Trinidad & Tobago","1",,,"http://pbs.twimg.com/profile_images/564879977078722560/ZV5bUetp_normal.jpeg","https://pbs.twimg.com/profile_banners/3013763124/1423564378","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/564879977078722560/ZV5bUetp_normal.jpeg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,,,,"Sun Feb 08 22:35:05 +0000 2015","2015-02-08 23:35:05","2015-05-02 01:06:42","2016-03-15 16:04:53","0","0"
"2982524516","Karla Albores","kakakarlalita","183","88","117","310","0",,"en",,,"1",,,"http://pbs.twimg.com/profile_images/585377007241826304/Y7U_TKr9_normal.jpg","https://pbs.twimg.com/profile_banners/2982524516/1428399728","1","https://abs.twimg.com/images/themes/theme1/bg.png","333333","https://pbs.twimg.com/profile_images/585377007241826304/Y7U_TKr9_normal.jpg","C0DEED",,"DDEEF6","http://abs.twimg.com/images/themes/theme1/bg.png","C0DEED","0084B4",,,,,,,"15 | adventure",,,"Wed Jan 14 11:50:48 +0000 2015","2015-01-14 12:50:48","2015-05-02 00:32:57","2016-03-15 16:06:33","0","0"
"2778387798","Brian Q. Webb","BrianQWebb","306","330","336","43","7","http://t.co/atEHHyDan2","en",,"Taipei, Taiwan & L.A., CA, USA",,,,"http://pbs.twimg.com/profile_images/508127466678792192/u1eQJ6lJ_normal.jpeg","https://pbs.twimg.com/profile_banners/2778387798/1411438157","1","https://pbs.twimg.com/profile_background_images/514234220571418624/b0fJhjVs.jpeg","FB8462","https://pbs.twimg.com/profile_images/508127466678792192/u1eQJ6lJ_normal.jpeg","FFFFFF",,"F1BB8F","http://pbs.twimg.com/profile_background_images/514234220571418624/b0fJhjVs.jpeg","1C1F24","57524C",,,,,,,"Struggling SciFi Smilth. Currently I am slaving over my first long form effort, Shift. Shift is a interdimensional hard science fiction thriller.",,,"Fri Aug 29 12:51:49 +0000 2014","2014-08-29 14:51:49","2015-05-01 21:15:20","2016-03-15 15:55:00","0","0"
